"BusinessEntityID","EmailAddressID","EmailAddress","rowguid","ModifiedDate"
"1","1","ken0@adventure-works.com","8A1901E4-671B-431A-871C-EADB2942E9EE","2009-01-07 00:00:00"
"2","2","terri0@adventure-works.com","B5FF9EFD-72A2-4F87-830B-F338FDD4D162","2008-01-24 00:00:00"
"3","3","roberto0@adventure-works.com","C8A51084-1C03-4C58-A8B3-55854AE7C499","2007-11-04 00:00:00"
"4","4","rob0@adventure-works.com","17703ED1-0031-4B4A-AFD2-77487A556B3B","2007-11-28 00:00:00"
"5","5","gail0@adventure-works.com","E76D2EA3-08E5-409C-BBE2-5DD1CDF89A3B","2007-12-30 00:00:00"
"6","6","jossef0@adventure-works.com","A9C4093A-4F4A-4CAD-BBB4-2C4E920BACCB","2013-12-16 00:00:00"
"7","7","dylan0@adventure-works.com","70429DE4-C3BF-4F19-A00A-E976C8017FB3","2009-02-01 00:00:00"
"8","8","diane1@adventure-works.com","37F02A87-058D-49F8-A20D-965738B0A71F","2008-12-22 00:00:00"
"9","9","gigi0@adventure-works.com","F888A16D-0C33-459E-9D72-D16AE0BB1F43","2009-01-09 00:00:00"
"10","10","michael6@adventure-works.com","E0DD366D-433D-4F5A-9347-1A5FE7FBE0A3","2009-04-26 00:00:00"
"11","11","ovidiu0@adventure-works.com","0FF9523D-F398-4237-85F8-2834DE441692","2010-11-28 00:00:00"
"12","12","thierry0@adventure-works.com","B2962849-CC5F-4E57-BCB4-019642BBD8ED","2007-12-04 00:00:00"
"13","13","janice0@adventure-works.com","64871268-3812-402F-8A91-C618B6515B06","2010-12-16 00:00:00"
"14","14","michael8@adventure-works.com","BEA9075C-1BED-4E5E-8234-F5641FAF814C","2010-12-23 00:00:00"
"15","15","sharon0@adventure-works.com","5CD782BA-F5AB-41EC-B206-09B06F52C96B","2011-01-11 00:00:00"
"16","16","david0@adventure-works.com","80C0D44A-78B6-42AC-AE8D-410A22A6BE63","2007-12-13 00:00:00"
"17","17","kevin0@adventure-works.com","F4332215-C861-4A54-99F5-B0C4F6406515","2007-01-19 00:00:00"
"18","18","john5@adventure-works.com","A944FC67-F16E-4AB8-8940-8CEFF186BED3","2011-01-31 00:00:00"
"19","19","mary2@adventure-works.com","626CB0E6-D6A9-4A73-8227-ACB02DBC5214","2011-02-07 00:00:00"
"20","20","wanida0@adventure-works.com","924A0FC3-F9E4-4100-8C82-1C69AAE4501F","2010-12-31 00:00:00"
"21","21","terry0@adventure-works.com","001ADA12-A5D4-44E7-97EF-610888C011C5","2009-02-23 00:00:00"
"22","22","sariya0@adventure-works.com","BA309CB3-C089-4BD8-A9CA-AAC0CE2B7BBF","2008-12-05 00:00:00"
"23","23","mary0@adventure-works.com","4E589721-922B-4A26-A138-B9D5A1813EC7","2009-01-05 00:00:00"
"24","24","jill0@adventure-works.com","76C0AD95-1552-4867-A95F-7460EF3F3EEE","2009-01-11 00:00:00"
"25","25","james1@adventure-works.com","2FB4A156-A73C-4FB6-ADEE-D36BC1435C87","2009-01-27 00:00:00"
"26","26","peter0@adventure-works.com","2153CB40-E8B1-43C3-9791-6BFF91E75D77","2008-11-24 00:00:00"
"27","27","jo0@adventure-works.com","98259561-ECCB-4257-9CF3-C4ED5E3356FC","2008-02-20 00:00:00"
"28","28","guy1@adventure-works.com","0D4F335B-6F4C-4612-942A-8BCCAF1BDA8D","2006-06-23 00:00:00"
"29","29","mark1@adventure-works.com","9C9D2AC4-BBFD-47F6-95AA-6DFF49538E08","2009-01-16 00:00:00"
"30","30","britta0@adventure-works.com","1F515A06-5240-4271-AD27-825DFDFA189A","2009-01-22 00:00:00"
"31","31","margie0@adventure-works.com","52DCDDF9-B9FD-4A8F-B23C-FC0B6E75380A","2008-12-28 00:00:00"
"32","32","rebecca0@adventure-works.com","AFBA85F1-8107-40E5-82DB-98D0678D6F15","2008-12-22 00:00:00"
"33","33","annik0@adventure-works.com","9B34B7EE-E461-4F34-ABC9-40CA59E7B8FD","2008-12-10 00:00:00"
"34","34","suchitra0@adventure-works.com","2A0B297F-6225-4B5A-AD4E-278F023CF864","2009-02-09 00:00:00"
"35","35","brandon0@adventure-works.com","87B16476-B184-4CB2-9F75-AF0606855B25","2009-02-01 00:00:00"
"36","36","jose0@adventure-works.com","7CB0078C-CAAA-44BD-B788-0F04DF52AA9F","2009-02-03 00:00:00"
"37","37","chris2@adventure-works.com","5B3E99AC-A9ED-40D7-A206-E99210C957D0","2009-02-28 00:00:00"
"38","38","kim1@adventure-works.com","9730C7EB-AB57-4785-9D8E-C90C49F3C6DE","2010-01-09 00:00:00"
"39","39","ed0@adventure-works.com","2AA0689B-EB49-4783-B7DA-66B96C569854","2010-01-29 00:00:00"
"40","40","jolynn0@adventure-works.com","A7150AC4-A013-4A90-ABDF-084A527CA233","2007-12-19 00:00:00"
