"CreditCardID","CardType","CardNumber","ExpMonth","ExpYear","ModifiedDate"
"1","SuperiorCard","33332664695310","11","2006","2013-07-29 00:00:00"
"2","Distinguish","55552127249722","8","2005","2013-12-05 00:00:00"
"3","ColonialVoice","77778344838353","7","2005","2014-01-14 00:00:00"
"4","ColonialVoice","77774915718248","7","2006","2013-05-20 00:00:00"
"5","Vista","11114404600042","4","2005","2013-02-01 00:00:00"
"6","Distinguish","55557132036181","9","2006","2014-04-10 00:00:00"
"7","Distinguish","55553635401028","6","2007","2013-02-01 00:00:00"
"8","SuperiorCard","33336081193101","7","2007","2013-06-30 00:00:00"
"9","Distinguish","55553465625901","2","2005","2013-09-23 00:00:00"
"10","SuperiorCard","33332126386493","8","2008","2011-08-31 00:00:00"
"11","SuperiorCard","33335352517363","10","2008","2014-05-04 00:00:00"
"12","SuperiorCard","33334316194519","4","2008","2012-05-30 00:00:00"
"13","Vista","11119775847802","11","2005","2014-03-01 00:00:00"
"14","Distinguish","55553287727410","10","2006","2013-11-19 00:00:00"
"15","SuperiorCard","33336866065599","11","2008","2013-01-29 00:00:00"
"16","Vista","11111985451507","8","2006","2013-12-30 00:00:00"
"17","ColonialVoice","77771220960729","8","2008","2014-01-16 00:00:00"
"18","ColonialVoice","77773971683137","8","2007","2011-12-29 00:00:00"
"19","ColonialVoice","77779803886862","9","2007","2014-02-04 00:00:00"
"20","SuperiorCard","33332150058339","3","2007","2013-12-17 00:00:00"
"21","SuperiorCard","33336474467548","3","2006","2013-09-11 00:00:00"
"22","ColonialVoice","77772030376004","3","2005","2013-12-24 00:00:00"
"23","Vista","11117174633569","7","2006","2012-04-15 00:00:00"
"24","Vista","11111658051128","11","2005","2013-08-21 00:00:00"
"25","Vista","11119905436490","1","2007","2013-01-19 00:00:00"
"26","Distinguish","55554195847998","11","2008","2013-08-27 00:00:00"
"27","SuperiorCard","33333837392825","12","2008","2013-11-11 00:00:00"
"28","SuperiorCard","33337040086193","12","2006","2013-07-31 00:00:00"
"29","SuperiorCard","33333594431481","2","2007","2014-04-25 00:00:00"
"30","Vista","11111281844021","6","2006","2014-01-13 00:00:00"
"31","Vista","11112040199986","10","2008","2009-01-15 00:00:00"
"32","Distinguish","55552506272209","6","2006","2014-01-21 00:00:00"
"33","SuperiorCard","33335588002748","2","2006","2012-01-25 00:00:00"
"34","Vista","11115274414475","10","2006","2013-11-25 00:00:00"
"35","SuperiorCard","33333028993903","2","2007","2012-08-05 00:00:00"
"36","Vista","11111169772836","11","2006","2013-09-03 00:00:00"
"37","Distinguish","55551349750603","7","2007","2014-03-23 00:00:00"
"38","Distinguish","55555420711099","7","2008","2013-09-24 00:00:00"
"39","Vista","11117546738833","5","2005","2013-09-13 00:00:00"
"40","Distinguish","55555841603354","4","2008","2013-08-25 00:00:00"
"41","Vista","11113757706549","7","2008","2014-03-22 00:00:00"
"42","Distinguish","55555053963314","3","2005","2013-07-01 00:00:00"
"43","SuperiorCard","33332773200339","3","2006","2013-09-03 00:00:00"
"44","ColonialVoice","77779171924785","6","2007","2013-10-10 00:00:00"
"45","Distinguish","55551983685258","4","2006","2014-04-28 00:00:00"
"46","SuperiorCard","33331306076760","12","2005","2013-12-07 00:00:00"
"47","Distinguish","55551566702747","3","2008","2013-06-07 00:00:00"
"48","SuperiorCard","33338676321482","3","2008","2014-05-21 00:00:00"
"49","SuperiorCard","33337796706807","6","2008","2013-07-09 00:00:00"
"50","ColonialVoice","77776755686502","5","2007","2014-06-15 00:00:00"
"51","SuperiorCard","33337051999262","3","2007","2014-03-07 00:00:00"
"52","Vista","11113124378865","3","2008","2013-04-23 00:00:00"
"53","ColonialVoice","77772212684661","5","2006","2014-04-04 00:00:00"
"54","Distinguish","55553252134216","12","2006","2013-09-04 00:00:00"
"55","ColonialVoice","77776585377718","5","2008","2013-07-31 00:00:00"
"56","Distinguish","55551526073305","7","2007","2014-03-16 00:00:00"
"57","ColonialVoice","77775318833306","10","2008","2013-12-23 00:00:00"
"58","Vista","11117610506869","12","2008","2014-02-07 00:00:00"
"59","Vista","11116857559490","9","2006","2013-06-30 00:00:00"
"60","Vista","11111063290504","1","2008","2012-06-14 00:00:00"
"61","Distinguish","55553521953614","4","2008","2014-05-15 00:00:00"
"62","SuperiorCard","33336076362820","1","2005","2014-04-01 00:00:00"
"63","Distinguish","55552834411554","4","2008","2013-12-06 00:00:00"
"64","ColonialVoice","77776280624762","2","2005","2013-10-13 00:00:00"
"65","Distinguish","55556135765472","4","2005","2013-10-13 00:00:00"
"66","ColonialVoice","77774204284216","8","2005","2010-01-29 00:00:00"
"67","SuperiorCard","33335516443528","12","2005","2013-10-27 00:00:00"
"68","SuperiorCard","33337185413753","3","2005","2013-02-06 00:00:00"
"69","ColonialVoice","77773035177913","6","2005","2012-05-17 00:00:00"
"70","Distinguish","55556217280260","3","2008","2014-02-07 00:00:00"
"71","Vista","11116167886495","7","2005","2013-10-13 00:00:00"
"72","Distinguish","55557166092204","7","2005","2013-08-13 00:00:00"
"73","Vista","11111097285749","1","2008","2013-11-23 00:00:00"
"74","Vista","11111875326223","11","2007","2014-06-26 00:00:00"
"75","SuperiorCard","33339024575831","11","2008","2013-09-22 00:00:00"
"76","SuperiorCard","33337723858818","5","2008","2011-05-31 00:00:00"
"77","Distinguish","55552491484622","8","2008","2009-02-24 00:00:00"
"78","SuperiorCard","33335304638114","8","2008","2014-01-25 00:00:00"
"79","Vista","11118018211102","7","2006","2012-06-17 00:00:00"
"80","ColonialVoice","77772340294400","11","2008","2013-11-19 00:00:00"
"81","Distinguish","55557892934839","6","2007","2012-11-17 00:00:00"
"82","Distinguish","55552580794715","11","2006","2012-05-30 00:00:00"
"83","Vista","11118036755505","4","2008","2013-10-29 00:00:00"
"84","Distinguish","55556891733409","1","2006","2014-03-29 00:00:00"
"85","ColonialVoice","77775989712942","4","2006","2014-05-27 00:00:00"
"86","SuperiorCard","33336703497121","1","2006","2013-08-26 00:00:00"
"87","Vista","11115536966870","8","2007","2012-03-03 00:00:00"
"88","Distinguish","55559505872957","1","2006","2014-04-20 00:00:00"
"89","SuperiorCard","33332972701054","4","2007","2013-04-18 00:00:00"
"90","Distinguish","55554129226031","11","2007","2013-07-13 00:00:00"
"91","SuperiorCard","33334379129505","1","2006","2013-07-30 00:00:00"
"92","SuperiorCard","33334394499932","10","2006","2014-02-11 00:00:00"
"93","Vista","11117160559398","2","2005","2013-09-25 00:00:00"
"94","Distinguish","55553576381881","5","2005","2014-03-06 00:00:00"
"95","Distinguish","55551358663947","5","2007","2014-03-06 00:00:00"
"96","SuperiorCard","33337600423179","4","2007","2014-01-17 00:00:00"
"97","ColonialVoice","77778908268190","12","2007","2014-05-02 00:00:00"
"98","SuperiorCard","33334689130342","9","2006","2011-12-06 00:00:00"
"99","Vista","11119575282326","12","2006","2013-08-28 00:00:00"
"100","ColonialVoice","77775942872654","9","2007","2014-04-05 00:00:00"
